,artist,name,tags
0,03098741-08b3-4dd7-b3f6-1b0bfa2c879c,Liars,"[u'alternative rock', u'art punk', u'dance-punk', u'experimental rock', u'indie rock', u'noise rock', u'rock', u'rock and indie']"
1,69c4cc43-8163-41c5-ac81-30946d27bb69,CunninLynguists,"[u'american', u'conscious hip hop', u'hip hop', u'hip-hop', u'political hip hop', u'rap', u'southern hip hop']"
2,7a2e6b55-f149-4e74-be6a-30a1b1a387bb,The Desert Sessions,[u'rock and indie']
3,7002bf88-1269-4965-a772-4ba1e7a91eaa,Glenn Gould,"[u'bach goldberg variations', u'bach the goldberg variations', u'brahms', u'bwv 988', u'canadian pianist', u'classical', u'gould inventions', u'pianist']"
4,dbf7c761-e332-467b-b4d9-aafe06bbcf8f,G. Love & Special Sauce,[u'rock and indie']
5,a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,"[u'1980', u'alternative dance', u'alternative rock', u'band', u'classic pop and rock', u'clean up', u'electronic', u'ireland', u'irish', u'irlandais', u'irlande', u'pop rock', u'pop/rock', u'post-punk', u'rock', u'\xe9ire']"
6,8b0f05ce-354e-4121-9e0b-8b4732ea844f,Juanes,"[u'colombia', u'colombian', u'cumbia', u'espa\xf1ol', u'la luz', u'latin', u'latin alternative', u'latin pop', u'paisa', u'pop', u'pop rock', u'rock']"
7,8363f94f-fd86-41b8-a56b-26eacb34f499,Summoning,"[u'austria', u'austrian', u'black metal', u'tolkien']"
8,2e41ae9c-afd2-4f20-8f1e-17281ce9b472,Gwen Stefani,"[u'american', u'contemporary r&b', u'dance-pop', u'electropop', u'new wave', u'no doubt', u'pop', u'pop and chart', u'pop rap', u'pop rock', u'rnb', u'rock', u'ska punk', u'united states']"
9,c17f08f4-2542-46fb-97f3-3202d60c225a,Fear Factory,"[u'alternative metal', u'american', u'death metal', u'groove metal', u'heavy metal', u'industrial metal', u'metal']"
10,4bd95eea-b9f6-4d70-a36c-cfea77431553,Alice in Chains,"[u'acoustic rock', u'alternative metal', u'alternative rock', u'american', u'am\xe9ricain', u'glam metal', u'grunge', u'hard rock', u'heavy metal', u'metal', u'rock', u'usa']"
11,f467181e-d5e0-4285-b47e-e853dcc89ee7,Ratatat,"[u'alternative', u'american', u'am\xe9ricain', u'composer', u'compositeur', u'electronic', u'electronic rock', u'indie', u'instrumental', u'producer', u'producteur', u'usa']"
12,4d9fb84a-8104-48c1-aa16-21f53c9053cc,Ignite,[u'melodic hardcore']
13,3ff72a59-f39d-411d-9f93-2d4a86413013,The Magnetic Fields,"[u'dream pop', u'indie pop', u'noise pop', u'rock and indie', u'synth pop', u'synthpop']"
14,5f58803e-8c4c-478e-8b51-477f38483ede,Madness,"[u'2 tone', u'british', u'england', u'english', u'london', u'new wave', u'pop', u'pop rock', u'rock and indie', u'ska', u'sophisti-pop', u'uk']"
15,ff9deaae-da4f-42b7-a19e-36fedd3fc706,Ben Kweller,[]
16,3231d12a-c42d-4977-b2a4-a6e4d87978e1,Tosca,"[u'austrian', u'chillout', u'dance and electronica', u'downtempo', u'electronic', u'vienna']"
17,756cf672-d4ae-4470-a3af-a43d776a211d,Saul Williams,"[u'american', u'hip hop rnb and dance hall', u'hip-hop', u'poetry', u'spoken word']"
18,8ca01f46-53ac-4af2-8516-55a909c0905e,My Bloody Valentine,"[u'alternative rock', u'british', u'classic pop and rock', u'dream pop', u'english', u'indie', u'indie rock', u'ireland', u'irish', u'irlandais', u'irlande', u'noise pop', u'shoegaze', u'shoegazing', u'uk']"
19,a0ef7e1d-44ff-4039-9435-7d5fefdeecc9,[theatre],"[u'bogus', u'broken', u'delete', u'do not use', u'dodgy', u""don't use"", u""don't use this"", u""don't use this please"", u'fail', u'fix', u'fix fix fix', u'fix this', u'fixme', u'fixme please', u""it's still broken"", u""it's still fail"", u'megabogus', u'merge', u'merge into anon', u'merge this', u'mergeme', u'mergeme please', u'needs merging into [anonymous]', u'needs merging into anon.', u'needs merging or fixing or something', u'never use this', u'no seriously this is broken', u'not to be used', u'please', u""please don't use this"", u'please fix this', u'please merge this', u'probably needs merging', u'really wrong', u'seriously', u'special purpose artist', u'the wrong artist', u""why hasn't this been merged yet?!"", u'wrong', u'wrong artist']"
